Scenario,YYY,RRR,Value
base,2025,DK1,147250.0
base,2025,DK2,147250.0
base,2025,FIN,212800.0
base,2025,DE4-E,593750.0
base,2025,DE4-N,593750.0
base,2025,DE4-S,593750.0
base,2025,DE4-W,593750.0
base,2025,NL,665000.0
base,2025,NO1,171000.0
base,2025,NO2,171000.0
base,2025,NO3,171000.0
base,2025,NO4,171000.0
base,2025,NO5,171000.0
base,2025,SE1,133000.0
base,2025,SE2,133000.0
base,2025,SE3,133000.0
base,2025,SE4,133000.0
base,2025,UK,1501000.0
base,2025,PL,94050.0
base,2025,BE,446500.0
base,2025,FR,1491500.0
base,2025,IT,465500.0
base,2025,CH,262200.0
base,2025,AT,209950.0
base,2025,ES,342000.0
base,2025,PT,166250.0
base,2025,GR,32300.0
base,2025,TR,77805.0
base,2030,DK1,398924.94999999995
base,2030,DK2,398924.94999999995
base,2030,FIN,576511.2999999999
base,2030,DE4-E,1608568.2625
base,2030,DE4-N,1608568.2625
base,2030,DE4-S,1608568.2625
base,2030,DE4-W,1608568.2625
base,2030,NL,1801596.15
base,2030,NO1,463267.69
base,2030,NO2,463267.69
base,2030,NO3,463267.69
base,2030,NO4,463267.69
base,2030,NO5,463267.69
base,2030,SE1,360319.325
base,2030,SE2,360319.325
base,2030,SE3,360319.325
base,2030,SE4,360319.325
base,2030,UK,4066460.75
base,2030,PL,254797.59999999998
base,2030,BE,1209643.55
base,2030,FR,4040723.3499999996
base,2030,IT,1261117.4
base,2030,CH,482470.8
base,2030,AT,568789.7
base,2030,ES,926535.0
base,2030,PT,450398.8
base,2030,GR,87506.4
base,2030,TR,210786.94999999998
base,2035,DK1,866905.875
base,2035,DK2,866905.875
base,2035,FIN,1252819.15
base,2035,DE4-E,3495587.6999999997
base,2035,DE4-N,3495587.6999999997
base,2035,DE4-S,3495587.6999999997
base,2035,DE4-W,3495587.6999999997
base,2035,NL,3915057.3499999996
base,2035,NO1,651651.36
base,2035,NO2,651651.36
base,2035,NO3,651651.36
base,2035,NO4,651651.36
base,2035,NO5,651651.36
base,2035,SE1,783011.6124999999
base,2035,SE2,783011.6124999999
base,2035,SE3,783011.6124999999
base,2035,SE4,783011.6124999999
base,2035,UK,8836845.85
base,2035,PL,553701.7999999999
base,2035,BE,2628682.3
base,2035,FR,8780916.5
base,2035,IT,2740541.0
base,2035,CH,496462.39999999997
base,2035,AT,1236039.3
base,2035,ES,2013457.5499999998
base,2035,PT,978764.1
base,2035,GR,190160.55
base,2035,TR,458062.44999999995
base,2040,DK1,1687439.4
base,2040,DK2,1687439.4
base,2040,FIN,2722507.15
base,2040,DE4-E,7596279.087499999
base,2040,DE4-N,7596279.087499999
base,2040,DE4-S,7596279.087499999
base,2040,DE4-W,7596279.087499999
base,2040,NL,8507830.45
base,2040,NO1,685537.1
base,2040,NO2,685537.1
base,2040,NO3,685537.1
base,2040,NO4,685537.1
base,2040,NO5,685537.1
base,2040,SE1,1506577.2125
base,2040,SE2,1506577.2125
base,2040,SE3,1506577.2125
base,2040,SE4,1506577.2125
base,2040,UK,19203394.05
base,2040,PL,1203251.95
base,2040,BE,5712402.25
base,2040,FR,19081853.9
base,2040,IT,5955483.5
base,2040,CH,510859.64999999997
base,2040,AT,2686043.3
base,2040,ES,4375454.899999999
base,2040,PT,2126956.9
base,2040,GR,413238.6
base,2040,TR,995417.6
base,2045,DK1,1728781.9749999999
base,2045,DK2,1728781.9749999999
base,2045,FIN,3118032.05
base,2045,DE4-E,11044636.5875
base,2045,DE4-N,11044636.5875
base,2045,DE4-S,11044636.5875
base,2045,DE4-W,11044636.5875
base,2045,NL,11118353.5
base,2045,NO1,721185.09
base,2045,NO2,721185.09
base,2045,NO3,721185.09
base,2045,NO4,721185.09
base,2045,NO5,721185.09
base,2045,SE1,1546501.4375
base,2045,SE2,1546501.4375
base,2045,SE3,1546501.4375
base,2045,SE4,1546501.4375
base,2045,UK,41405928.6
base,2045,PL,2614793.3
base,2045,BE,6421961.05
base,2045,FR,36030148.4
base,2045,IT,12941890.85
base,2045,CH,525674.9
base,2045,AT,4656515.25
base,2045,ES,9508322.95
base,2045,PT,4622100.55
base,2045,GR,898011.25
base,2045,TR,2163147.15
base,2050,DK1,1771136.775
base,2050,DK2,1771136.775
base,2050,FIN,3163243.5
base,2050,DE4-E,11044636.5875
base,2050,DE4-N,11044636.5875
base,2050,DE4-S,11044636.5875
base,2050,DE4-W,11044636.5875
base,2050,NL,11535291.4
base,2050,NO1,758686.72
base,2050,NO2,758686.72
base,2050,NO3,758686.72
base,2050,NO4,758686.72
base,2050,NO5,758686.72
base,2050,SE1,1587483.7249999999
base,2050,SE2,1587483.7249999999
base,2050,SE3,1587483.7249999999
base,2050,SE4,1587483.7249999999
base,2050,UK,42772324.05
base,2050,PL,5682220.75
base,2050,BE,6492602.1
base,2050,FR,36336404.65
base,2050,IT,28124087.849999998
base,2050,CH,540919.5499999999
base,2050,AT,4630904.2
base,2050,ES,20662584.55
base,2050,PT,5376774.85
base,2050,GR,1951472.9
base,2050,TR,4700746.3
